,Sentiment_score,Emotion,Episode,Season
rachel,0.705,Surprise,Episode-22-The One With Joey's Big Break,Season-05
rachel,0.9638,Fear,Episode-23-05x24 - The One In Vegas,Season-05
rachel,-0.8166,Surprise,Episode-01-The One After Vegas,Season-06
rachel,0.9663,Surprise,Episode-02-The One Where Ross Hugs Rachel,Season-06
rachel,0.9774,Fear,Episode-03-The One With Ross’s Denial,Season-06
rachel,0.9066,Surprise,Episode-04-The One Where Joey Loses His Insurance,Season-06
rachel,-0.4521,Fear,Episode-05-The One With Joey’s Porsche,Season-06
rachel,-0.4201,Surprise,Episode-06-The One The Last Night,Season-06
rachel,0.9485,Surprise,Episode-07-The One Where Phoebe Runs,Season-06
rachel,0.6808,Surprise,Episode-08-The One With Ross’s Teeth,Season-06
rachel,0.703,Sad,Episode-09-The One Where Ross Got High,Season-06
rachel,0.931,Surprise,Episode-10-The One With The Routinue,Season-06
rachel,0.3892,Surprise,Episode-11-The One With The Apothecary Table,Season-06
rachel,0.969,Fear,Episode-12-The One With The Joke,Season-06
rachel,0.8777,Surprise,Episode-13-The One With Rachel’s Sister,Season-06
rachel,0.8807,Surprise,Episode-14-The One Where Chandler Can’t Cry,Season-06
rachel,0.9794,Surprise,Episode-15-06x16 - The One That Could Have Been,Season-06
rachel,0.2263,Surprise,Episode-17-The One With The Unagi,Season-06
rachel,0.9547,Surprise,Episode-18-The One Where Ross Dates A Student,Season-06
rachel,0.8473,Surprise,Episode-19-The One With Joey’s Fridge,Season-06
rachel,-0.0258,Sad,Episode-20-The One With Mac and C.H.E.E.S.E.,Season-06
rachel,0.9872,Sad,Episode-21-The One Where Ross Meets Elizabeth’s Dad,Season-06
rachel,0.9393,Surprise,Episode-22-The One Where Paul’s The Man,Season-06
rachel,0.9962,Surprise,Episode-23-The One With The Ring,Season-06
rachel,0.9935,Surprise,Episode-24-06x25 - The One With The Proposal,Season-06
rachel,-0.705,Surprise,Episode-01-The One With Monica’s Thunder,Season-07
rachel,-0.4818,Sad,Episode-02-The One With Rachel’s Book,Season-07
rachel,-0.2285,Surprise,Episode-03-The One With Phoebe’s Cookies,Season-07
rachel,0.9613,Surprise,Episode-04-The One With Rachel’s Assistant,Season-07
rachel,0.9753,Surprise,Episode-05-The One With The Engagement Picture,Season-07
rachel,0.9001,Surprise,Episode-06-The One With The Nap Partners,Season-07
rachel,0.9403,Sad,Episode-07-The One With Ross’s Book,Season-07
rachel,0.8519,Surprise,Episode-08-The One Where Chandler Doesn’t Like Dogs,Season-07
rachel,0.8692,Surprise,Episode-09-The One With All The Candy,Season-07
rachel,0.961,Fear,Episode-10-The One With the Holiday Armadillo,Season-07
rachel,0.7408,Surprise,Episode-11-The One With All The Cheesecakes,Season-07
rachel,0.8658,Fear,Episode-12-The One Where They’re Up All Night,Season-07
rachel,0.872,Surprise,Episode-13-The One Where Rosita Dies,Season-07
rachel,0.9468,Surprise,Episode-14-The One Where They All Turn Thirty,Season-07
rachel,0.9879,Surprise,Episode-15-The One With Joey’s New Brain,Season-07
rachel,0.9867,Surprise,Episode-16-The One With The Truth About London,Season-07
